Model,Method,Pattern,Accuracy,Correct,Total,CI_Lower,CI_Upper,Error_Lower,Error_Upper
claude_haiku_4_5_20251001,zero-shot,ASd,90.0,18,20,69.89663547715128,97.21335187862319,20.10336452284872,7.213351878623186
claude_haiku_4_5_20251001,zero-shot,CMP,85.0,17,20,63.95811352592431,94.76312541037835,21.04188647407569,9.76312541037835
claude_haiku_4_5_20251001,zero-shot,CT,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
claude_haiku_4_5_20251001,zero-shot,DSmi,90.0,18,20,69.89663547715128,97.21335187862319,20.10336452284872,7.213351878623186
claude_haiku_4_5_20251001,zero-shot,DSmu,5.0,1,20,0.8881448800795402,23.613119344674203,4.11185511992046,18.613119344674203
claude_haiku_4_5_20251001,zero-shot,MTmi,70.0,14,20,48.10271816464765,85.45227551323956,21.897281835352352,15.452275513239556
claude_haiku_4_5_20251001,zero-shot,MTmu,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
claude_haiku_4_5_20251001,chain-of-thought,ASd,90.0,18,20,69.89663547715128,97.21335187862319,20.10336452284872,7.213351878623186
claude_haiku_4_5_20251001,chain-of-thought,CMP,20.0,4,20,8.065766257979806,41.60174322518937,11.934233742020194,21.601743225189367
claude_haiku_4_5_20251001,chain-of-thought,CT,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
claude_haiku_4_5_20251001,chain-of-thought,DSmi,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
claude_haiku_4_5_20251001,chain-of-thought,DSmu,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
claude_haiku_4_5_20251001,chain-of-thought,MTmi,95.0,19,20,76.3868806553258,99.11185511992046,18.613119344674203,4.111855119920463
claude_haiku_4_5_20251001,chain-of-thought,MTmu,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
claude_haiku_4_5_20251001,LogiCue,ASd,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
claude_haiku_4_5_20251001,LogiCue,CMP,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
claude_haiku_4_5_20251001,LogiCue,CT,10.0,2,20,2.7866481213768224,30.10336452284873,7.213351878623177,20.10336452284873
claude_haiku_4_5_20251001,LogiCue,DSmi,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
claude_haiku_4_5_20251001,LogiCue,DSmu,80.0,16,20,58.39825677481064,91.9342337420202,21.60174322518936,11.934233742020197
claude_haiku_4_5_20251001,LogiCue,MTmi,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
claude_haiku_4_5_20251001,LogiCue,MTmu,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
claude_sonnet_4_5_20250929,zero-shot,ASd,70.0,14,20,48.10271816464765,85.45227551323956,21.897281835352352,15.452275513239556
claude_sonnet_4_5_20250929,zero-shot,CMP,5.0,1,20,0.8881448800795402,23.613119344674203,4.11185511992046,18.613119344674203
claude_sonnet_4_5_20250929,zero-shot,CT,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
claude_sonnet_4_5_20250929,zero-shot,DSmi,5.0,1,20,0.8881448800795402,23.613119344674203,4.11185511992046,18.613119344674203
claude_sonnet_4_5_20250929,zero-shot,DSmu,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
claude_sonnet_4_5_20250929,zero-shot,MTmi,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
claude_sonnet_4_5_20250929,zero-shot,MTmu,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
claude_sonnet_4_5_20250929,chain-of-thought,ASd,60.0,12,20,38.65815007622532,78.1193467627183,21.34184992377468,18.119346762718294
claude_sonnet_4_5_20250929,chain-of-thought,CMP,20.0,4,20,8.065766257979806,41.60174322518937,11.934233742020194,21.601743225189367
claude_sonnet_4_5_20250929,chain-of-thought,CT,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
claude_sonnet_4_5_20250929,chain-of-thought,DSmi,90.0,18,20,69.89663547715128,97.21335187862319,20.10336452284872,7.213351878623186
claude_sonnet_4_5_20250929,chain-of-thought,DSmu,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
claude_sonnet_4_5_20250929,chain-of-thought,MTmi,65.0,13,20,43.28542766852363,81.88081758989179,21.71457233147637,16.88081758989179
claude_sonnet_4_5_20250929,chain-of-thought,MTmu,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
claude_sonnet_4_5_20250929,LogiCue,ASd,95.0,19,20,76.3868806553258,99.11185511992046,18.613119344674203,4.111855119920463
claude_sonnet_4_5_20250929,LogiCue,CMP,30.0,6,20,14.54772448676043,51.89728183535235,15.45227551323957,21.897281835352352
claude_sonnet_4_5_20250929,LogiCue,CT,50.0,10,20,29.929800819821235,70.07019918017876,20.070199180178765,20.07019918017876
claude_sonnet_4_5_20250929,LogiCue,DSmi,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
claude_sonnet_4_5_20250929,LogiCue,DSmu,20.0,4,20,8.065766257979806,41.60174322518937,11.934233742020194,21.601743225189367
claude_sonnet_4_5_20250929,LogiCue,MTmi,50.0,10,20,29.929800819821235,70.07019918017876,20.070199180178765,20.07019918017876
claude_sonnet_4_5_20250929,LogiCue,MTmu,95.0,19,20,76.3868806553258,99.11185511992046,18.613119344674203,4.111855119920463
deepseek_reasoner,zero-shot,ASd,70.0,14,20,48.10271816464765,85.45227551323956,21.897281835352352,15.452275513239556
deepseek_reasoner,zero-shot,CMP,80.0,16,20,58.39825677481064,91.9342337420202,21.60174322518936,11.934233742020197
deepseek_reasoner,zero-shot,CT,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
deepseek_reasoner,zero-shot,DSmi,35.0,7,20,18.11918241010821,56.71457233147636,16.88081758989179,21.71457233147636
deepseek_reasoner,zero-shot,DSmu,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
deepseek_reasoner,zero-shot,MTmi,70.0,14,20,48.10271816464765,85.45227551323956,21.897281835352352,15.452275513239556
deepseek_reasoner,zero-shot,MTmu,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
deepseek_reasoner,chain-of-thought,ASd,50.0,10,20,29.929800819821235,70.07019918017876,20.070199180178765,20.07019918017876
deepseek_reasoner,chain-of-thought,CMP,80.0,16,20,58.39825677481064,91.9342337420202,21.60174322518936,11.934233742020197
deepseek_reasoner,chain-of-thought,CT,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
deepseek_reasoner,chain-of-thought,DSmi,10.0,2,20,2.7866481213768224,30.10336452284873,7.213351878623177,20.10336452284873
deepseek_reasoner,chain-of-thought,DSmu,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
deepseek_reasoner,chain-of-thought,MTmi,50.0,10,20,29.929800819821235,70.07019918017876,20.070199180178765,20.07019918017876
deepseek_reasoner,chain-of-thought,MTmu,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
deepseek_reasoner,LogiCue,ASd,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
deepseek_reasoner,LogiCue,CMP,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
deepseek_reasoner,LogiCue,CT,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
deepseek_reasoner,LogiCue,DSmi,95.0,19,20,76.3868806553258,99.11185511992046,18.613119344674203,4.111855119920463
deepseek_reasoner,LogiCue,DSmu,94.73684210526315,18,19,75.3612688331012,99.06480059376996,19.375573272161944,4.327958488506809
deepseek_reasoner,LogiCue,MTmi,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
deepseek_reasoner,LogiCue,MTmu,95.0,19,20,76.3868806553258,99.11185511992046,18.613119344674203,4.111855119920463
gemini_2_0_flash,zero-shot,ASd,95.0,19,20,76.3868806553258,99.11185511992046,18.613119344674203,4.111855119920463
gemini_2_0_flash,zero-shot,CMP,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
gemini_2_0_flash,zero-shot,CT,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
gemini_2_0_flash,zero-shot,DSmi,15.0,3,20,5.236874589621659,36.041886474075696,9.76312541037834,21.041886474075696
gemini_2_0_flash,zero-shot,DSmu,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
gemini_2_0_flash,zero-shot,MTmi,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
gemini_2_0_flash,zero-shot,MTmu,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
gemini_2_0_flash,chain-of-thought,ASd,75.0,15,20,53.1299122381256,88.81382985923342,21.8700877618744,13.813829859233422
gemini_2_0_flash,chain-of-thought,CMP,30.0,6,20,14.54772448676043,51.89728183535235,15.45227551323957,21.897281835352352
gemini_2_0_flash,chain-of-thought,CT,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
gemini_2_0_flash,chain-of-thought,DSmi,60.0,12,20,38.65815007622532,78.1193467627183,21.34184992377468,18.119346762718294
gemini_2_0_flash,chain-of-thought,DSmu,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
gemini_2_0_flash,chain-of-thought,MTmi,25.0,5,20,11.186170140766565,46.87008776187441,13.813829859233435,21.87008776187441
gemini_2_0_flash,chain-of-thought,MTmu,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
gemini_2_0_flash,LogiCue,ASd,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
gemini_2_0_flash,LogiCue,CMP,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
gemini_2_0_flash,LogiCue,CT,20.0,4,20,8.065766257979806,41.60174322518937,11.934233742020194,21.601743225189367
gemini_2_0_flash,LogiCue,DSmi,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
gemini_2_0_flash,LogiCue,DSmu,95.0,19,20,76.3868806553258,99.11185511992046,18.613119344674203,4.111855119920463
gemini_2_0_flash,LogiCue,MTmi,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
gemini_2_0_flash,LogiCue,MTmu,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
gemma3_12b,zero-shot,ASd,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
gemma3_12b,zero-shot,CMP,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
gemma3_12b,zero-shot,CT,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
gemma3_12b,zero-shot,DSmi,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
gemma3_12b,zero-shot,DSmu,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
gemma3_12b,zero-shot,MTmi,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
gemma3_12b,zero-shot,MTmu,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
gemma3_12b,chain-of-thought,ASd,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
gemma3_12b,chain-of-thought,CMP,10.526315789473683,2,19,2.935856029887013,31.394082711109007,7.59045975958667,20.867766921635322
gemma3_12b,chain-of-thought,CT,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
gemma3_12b,chain-of-thought,DSmi,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
gemma3_12b,chain-of-thought,DSmu,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
gemma3_12b,chain-of-thought,MTmi,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
gemma3_12b,chain-of-thought,MTmu,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
gemma3_12b,LogiCue,ASd,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
gemma3_12b,LogiCue,CMP,40.0,8,20,21.88065323728171,61.34184992377468,18.11934676271829,21.34184992377468
gemma3_12b,LogiCue,CT,90.0,18,20,69.89663547715128,97.21335187862319,20.10336452284872,7.213351878623186
gemma3_12b,LogiCue,DSmi,95.0,19,20,76.3868806553258,99.11185511992046,18.613119344674203,4.111855119920463
gemma3_12b,LogiCue,DSmu,90.0,18,20,69.89663547715128,97.21335187862319,20.10336452284872,7.213351878623186
gemma3_12b,LogiCue,MTmi,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
gemma3_12b,LogiCue,MTmu,75.0,15,20,53.1299122381256,88.81382985923342,21.8700877618744,13.813829859233422
gpt_5_chat_latest,zero-shot,ASd,90.0,18,20,69.89663547715128,97.21335187862319,20.10336452284872,7.213351878623186
gpt_5_chat_latest,zero-shot,CMP,5.0,1,20,0.8881448800795402,23.613119344674203,4.11185511992046,18.613119344674203
gpt_5_chat_latest,zero-shot,CT,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
gpt_5_chat_latest,zero-shot,DSmi,40.0,8,20,21.88065323728171,61.34184992377468,18.11934676271829,21.34184992377468
gpt_5_chat_latest,zero-shot,DSmu,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
gpt_5_chat_latest,zero-shot,MTmi,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
gpt_5_chat_latest,zero-shot,MTmu,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
gpt_5_chat_latest,chain-of-thought,ASd,65.0,13,20,43.28542766852363,81.88081758989179,21.71457233147637,16.88081758989179
gpt_5_chat_latest,chain-of-thought,CMP,60.0,12,20,38.65815007622532,78.1193467627183,21.34184992377468,18.119346762718294
gpt_5_chat_latest,chain-of-thought,CT,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
gpt_5_chat_latest,chain-of-thought,DSmi,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
gpt_5_chat_latest,chain-of-thought,DSmu,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
gpt_5_chat_latest,chain-of-thought,MTmi,95.0,19,20,76.3868806553258,99.11185511992046,18.613119344674203,4.111855119920463
gpt_5_chat_latest,chain-of-thought,MTmu,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
gpt_5_chat_latest,LogiCue,ASd,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
gpt_5_chat_latest,LogiCue,CMP,25.0,5,20,11.186170140766565,46.87008776187441,13.813829859233435,21.87008776187441
gpt_5_chat_latest,LogiCue,CT,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
gpt_5_chat_latest,LogiCue,DSmi,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
gpt_5_chat_latest,LogiCue,DSmu,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
gpt_5_chat_latest,LogiCue,MTmi,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
gpt_5_chat_latest,LogiCue,MTmu,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
llama3.2_3b,zero-shot,ASd,85.0,17,20,63.95811352592431,94.76312541037835,21.04188647407569,9.76312541037835
llama3.2_3b,zero-shot,CMP,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
llama3.2_3b,zero-shot,CT,70.0,14,20,48.10271816464765,85.45227551323956,21.897281835352352,15.452275513239556
llama3.2_3b,zero-shot,DSmi,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
llama3.2_3b,zero-shot,DSmu,35.0,7,20,18.11918241010821,56.71457233147636,16.88081758989179,21.71457233147636
llama3.2_3b,zero-shot,MTmi,75.0,15,20,53.1299122381256,88.81382985923342,21.8700877618744,13.813829859233422
llama3.2_3b,zero-shot,MTmu,45.0,9,20,25.81978582556243,65.79146575496577,19.18021417443757,20.79146575496577
llama3.2_3b,chain-of-thought,ASd,80.0,16,20,58.39825677481064,91.9342337420202,21.60174322518936,11.934233742020197
llama3.2_3b,chain-of-thought,CMP,85.0,17,20,63.95811352592431,94.76312541037835,21.04188647407569,9.76312541037835
llama3.2_3b,chain-of-thought,CT,50.0,10,20,29.929800819821235,70.07019918017876,20.070199180178765,20.07019918017876
llama3.2_3b,chain-of-thought,DSmi,70.0,14,20,48.10271816464765,85.45227551323956,21.897281835352352,15.452275513239556
llama3.2_3b,chain-of-thought,DSmu,40.0,8,20,21.88065323728171,61.34184992377468,18.11934676271829,21.34184992377468
llama3.2_3b,chain-of-thought,MTmi,90.0,18,20,69.89663547715128,97.21335187862319,20.10336452284872,7.213351878623186
llama3.2_3b,chain-of-thought,MTmu,45.0,9,20,25.81978582556243,65.79146575496577,19.18021417443757,20.79146575496577
llama3.2_3b,LogiCue,ASd,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
llama3.2_3b,LogiCue,CMP,5.0,1,20,0.8881448800795402,23.613119344674203,4.11185511992046,18.613119344674203
llama3.2_3b,LogiCue,CT,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
llama3.2_3b,LogiCue,DSmi,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
llama3.2_3b,LogiCue,DSmu,95.0,19,20,76.3868806553258,99.11185511992046,18.613119344674203,4.111855119920463
llama3.2_3b,LogiCue,MTmi,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
llama3.2_3b,LogiCue,MTmu,95.0,19,20,76.3868806553258,99.11185511992046,18.613119344674203,4.111855119920463
phi4_latest,zero-shot,ASd,95.0,19,20,76.3868806553258,99.11185511992046,18.613119344674203,4.111855119920463
phi4_latest,zero-shot,CMP,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
phi4_latest,zero-shot,CT,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
phi4_latest,zero-shot,DSmi,10.0,2,20,2.7866481213768224,30.10336452284873,7.213351878623177,20.10336452284873
phi4_latest,zero-shot,DSmu,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
phi4_latest,zero-shot,MTmi,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
phi4_latest,zero-shot,MTmu,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
phi4_latest,chain-of-thought,ASd,90.0,18,20,69.89663547715128,97.21335187862319,20.10336452284872,7.213351878623186
phi4_latest,chain-of-thought,CMP,35.0,7,20,18.11918241010821,56.71457233147636,16.88081758989179,21.71457233147636
phi4_latest,chain-of-thought,CT,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
phi4_latest,chain-of-thought,DSmi,85.0,17,20,63.95811352592431,94.76312541037835,21.04188647407569,9.76312541037835
phi4_latest,chain-of-thought,DSmu,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
phi4_latest,chain-of-thought,MTmi,10.0,2,20,2.7866481213768224,30.10336452284873,7.213351878623177,20.10336452284873
phi4_latest,chain-of-thought,MTmu,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
phi4_latest,LogiCue,ASd,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
phi4_latest,LogiCue,CMP,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
phi4_latest,LogiCue,CT,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
phi4_latest,LogiCue,DSmi,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
phi4_latest,LogiCue,DSmu,95.0,19,20,76.3868806553258,99.11185511992046,18.613119344674203,4.111855119920463
phi4_latest,LogiCue,MTmi,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
phi4_latest,LogiCue,MTmu,10.0,2,20,2.7866481213768224,30.10336452284873,7.213351878623177,20.10336452284873
qwen2.5_7b,zero-shot,ASd,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
qwen2.5_7b,zero-shot,CMP,15.0,3,20,5.236874589621659,36.041886474075696,9.76312541037834,21.041886474075696
qwen2.5_7b,zero-shot,CT,5.0,1,20,0.8881448800795402,23.613119344674203,4.11185511992046,18.613119344674203
qwen2.5_7b,zero-shot,DSmi,85.0,17,20,63.95811352592431,94.76312541037835,21.04188647407569,9.76312541037835
qwen2.5_7b,zero-shot,DSmu,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
qwen2.5_7b,zero-shot,MTmi,75.0,15,20,53.1299122381256,88.81382985923342,21.8700877618744,13.813829859233422
qwen2.5_7b,zero-shot,MTmu,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
qwen2.5_7b,chain-of-thought,ASd,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
qwen2.5_7b,chain-of-thought,CMP,15.0,3,20,5.236874589621659,36.041886474075696,9.76312541037834,21.041886474075696
qwen2.5_7b,chain-of-thought,CT,5.0,1,20,0.8881448800795402,23.613119344674203,4.11185511992046,18.613119344674203
qwen2.5_7b,chain-of-thought,DSmi,75.0,15,20,53.1299122381256,88.81382985923342,21.8700877618744,13.813829859233422
qwen2.5_7b,chain-of-thought,DSmu,0.0,0,20,0.0,16.112515805281937,0.0,16.112515805281937
qwen2.5_7b,chain-of-thought,MTmi,55.00000000000001,11,20,34.20853424503424,74.18021417443758,20.79146575496577,19.180214174437573
qwen2.5_7b,chain-of-thought,MTmu,15.0,3,20,5.236874589621659,36.041886474075696,9.76312541037834,21.041886474075696
qwen2.5_7b,LogiCue,ASd,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
qwen2.5_7b,LogiCue,CMP,95.0,19,20,76.3868806553258,99.11185511992046,18.613119344674203,4.111855119920463
qwen2.5_7b,LogiCue,CT,90.0,18,20,69.89663547715128,97.21335187862319,20.10336452284872,7.213351878623186
qwen2.5_7b,LogiCue,DSmi,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
qwen2.5_7b,LogiCue,DSmu,75.0,15,20,53.1299122381256,88.81382985923342,21.8700877618744,13.813829859233422
qwen2.5_7b,LogiCue,MTmi,100.0,20,20,83.88748419471807,100.0,16.11251580528193,0.0
qwen2.5_7b,LogiCue,MTmu,25.0,5,20,11.186170140766565,46.87008776187441,13.813829859233435,21.87008776187441
